# Time	Temperature [K]	Pressure [Pa]
8e-08	1000	1.36789e+06
2.39999e-07	1000	1.36789e+06
5.59991e-07	1000	1.36789e+06
1.19996e-06	1000	1.36789e+06
2.47988e-06	1000	1.36789e+06
5.03941e-06	1000	1.36789e+06
1.01572e-05	1000	1.36789e+06
2.03927e-05	1000	1.36789e+06
4.08427e-05	1000	1.36789e+06
8.16589e-05	1000	1.36789e+06
0.000162957	1000	1.36789e+06
0.000262321	1000	1.36789e+06
0.000361685	1000	1.36789e+06
0.000461049	1000	1.36789e+06
0.000560413	1000	1.36789e+06
0.000659777	1000	1.36789e+06
0.000759141	1000	1.36789e+06
0.000858505	1000	1.36789e+06
0.000957869	1000	1.36789e+06
0.00105723	1000	1.36789e+06
0.0011566	1000	1.36789e+06
0.00125596	1000	1.36789e+06
0.00135533	1000	1.36789e+06
0.00145469	1000	1.36789e+06
0.00155405	1000	1.36789e+06
0.00165342	1000	1.36789e+06
0.00175278	1000.01	1.36789e+06
0.00185215	1000.01	1.36789e+06
0.00195151	1000.01	1.36789e+06
0.00205087	1000.01	1.36789e+06
0.00215024	1000.01	1.36789e+06
0.0022496	1000.01	1.36789e+06
0.00234897	1000.01	1.36789e+06
0.00244833	1000.01	1.36789e+06
0.00254769	1000.01	1.36789e+06
0.00264706	1000.01	1.36789e+06
0.00274642	1000.02	1.36789e+06
0.00284579	1000.02	1.36789e+06
0.00294515	1000.02	1.36789e+06
0.00304451	1000.02	1.36789e+06
0.00314388	1000.02	1.36789e+06
0.00324324	1000.02	1.36789e+06
0.00334261	1000.02	1.36789e+06
0.00344197	1000.02	1.36789e+06
0.00354134	1000.03	1.36789e+06
0.0036407	1000.03	1.36789e+06
0.00374006	1000.03	1.36789e+06
0.00383943	1000.03	1.36789e+06
0.00393879	1000.03	1.36789e+06
0.00403816	1000.03	1.36789e+06
0.00413752	1000.03	1.36789e+06
0.00423688	1000.04	1.36789e+06
0.00433625	1000.04	1.36789e+06
0.00443561	1000.04	1.36789e+06
0.00453498	1000.04	1.36789e+06
0.00463434	1000.04	1.36789e+06
0.0047337	1000.04	1.36789e+06
0.00483307	1000.05	1.36789e+06
0.00493243	1000.05	1.36789e+06
0.0050318	1000.05	1.36789e+06
0.00513116	1000.05	1.36789e+06
0.00523052	1000.05	1.36789e+06
0.00532989	1000.05	1.36789e+06
0.00542925	1000.05	1.36789e+06
0.00552862	1000.06	1.36789e+06
0.00562798	1000.06	1.36789e+06
0.00572734	1000.06	1.36789e+06
0.00582671	1000.06	1.36789e+06
0.00592607	1000.06	1.36789e+06
0.00602544	1000.07	1.36789e+06
0.0061248	1000.07	1.36789e+06
0.00622417	1000.07	1.36789e+06
0.00632353	1000.07	1.36789e+06
